"","compound1","compound2"
"1",598.360656738281,1564.28576660156
"2",1196.72131283453,2085.71434859256
"3",1196.72131525294,2085.71434197365
"4",1196.72131565161,2085.7143506268
"5",1196.72131997888,2085.71433460212
"6",1196.72131534497,2085.7143377969
"7",1196.72131278081,2085.71433170093
"8",1196.72131615703,2085.7143382529
"9",1196.72131942527,2085.71434055449
"10",1196.72131046047,2085.71435112337
"11",1196.72132308368,2085.71435259038
"12",1196.72131968511,2085.7143498534
"13",1196.72130457999,2085.71435013798
"14",1196.72131244192,2085.71434035344
"15",1196.72131774691,2085.71434902679
"16",1196.72131374391,2085.71434688894
"17",1196.72132795869,2085.71434075164
"18",1196.72131884168,2085.71434851305
"19",1196.72131474054,2085.71435151633
"20",1196.72132599191,2085.71434734651
"21",1196.7213214704,2085.71433991654
"22",1196.72131754615,2085.71434375551
"23",1196.72131130926,2085.71433706419
"24",1196.72131656058,2085.71434971876
"25",1196.72132140642,2085.71433620565
"26",1196.72131186648,2085.71434077239
"27",1196.72131601727,2085.71433379987
"28",1196.72131993726,2085.71434335588
"29",1196.72130501724,2085.71433439068
"30",1196.72130677191,2085.71433813323
"31",1196.72130856157,2085.7143452435
"32",1196.72131467267,2085.71433643906
"33",1196.72131305345,2085.71433847526
"34",1196.721318439,2085.71434015079
"35",1196.72131993325,2085.71435078434
"36",1196.72131922079,2085.71434319718
"37",1196.72131718113,2085.71432990915
"38",1196.72131372633,2085.71434036738
"39",1196.72131773917,2085.71433502532
"40",1196.72132064257,2085.71433577887
"41",1196.72132382839,2085.71434219286
"42",1196.72131443024,2085.71434890872
"43",1196.72131857491,2085.71434585479
"44",1196.72132017202,2085.71434534978
"45",1196.72131734423,2085.71434692873
"46",1196.72132609517,2085.71433435121
"47",1196.72130748641,2085.71433126635
"48",1196.72131555266,2085.71433658508
"49",1196.72132426448,2085.71434460557
"50",1196.72131012287,2085.71434994024
"51",1196.7213234551,2085.71434345595
"52",1196.7213045368,2085.71433624162
"53",1196.72131956316,2085.71434268703
"54",1196.72131986573,2085.71434296131
"55",1196.72131194087,2085.71433752694
"56",1196.72130947263,2085.71434441757
"57",1196.7213222502,2085.71432858371
"58",1196.72131461964,2607.14289978729
"59",1196.72132125014,2607.14293239801
"60",1196.72132204293,2607.14292349725
"61",1196.72132459667,2607.14289273194
"62",1196.72130900307,2607.14291087061
"63",1196.72131837346,2607.14294338069
"64",1196.72132255038,2607.14292344928
"65",1196.72130661056,2607.14291703643
"66",1196.72130769835,2607.14291124902
"67",1196.72130802431,2607.14291694551
"68",1196.72130897798,2607.14293047116
"69",1196.7213092164,2607.14290795152
"70",1196.72130969324,2607.14291404359
"71",1196.72131017002,2607.14292762199
"72",1196.72131017002,2607.14292257297
"73",1196.72131016955,2607.14293356388
"74",1196.72131016955,2607.14290441151
"75",1196.72131064639,2607.14290879774
"76",1196.72131064639,2607.14291806248
"77",1196.72131064639,2607.14290232633
"78",1196.72131064639,2607.14291355747
"79",1196.72131064639,2607.1429114702
"80",1196.72131064639,2607.14291521561
"81",1196.72131064639,2607.14289515559
"82",1196.72131064639,3128.57148323895
"83",1196.72131064639,3128.57150311198
"84",1196.72131064639,3128.57150008954
"85",1196.72131064639,3128.57145884051
"86",1196.72131064639,3128.57147641457
"87",1196.72131064639,3128.57146157289
"88",1196.72131064639,3128.57148502133
"89",1196.72131064639,3128.57146855816
"90",1196.72131064639,3128.5714630977
"91",1196.72131064639,3128.57148658182
"92",1196.72131064639,3128.57149599213
"93",1196.72131064639,3128.57146205561
"94",1196.72131064639,3128.57150048745
"95",1196.72131064639,3128.57150741038
"96",1196.72131064639,3128.5714678985
"97",1196.72131064639,3128.5715236757
"98",1196.72131064639,3128.5714845559
"99",1196.72131064639,3128.57146071555
"100",1196.72131064639,3128.57144510516
"101",1196.72131064639,3128.5714687306
"102",1196.72131064639,3128.57147761754
"103",1196.72131064639,3128.57149431243
"104",1196.72131064639,3128.57153341797
"105",1196.72131064639,3128.57149144943
"106",1196.72131064639,3128.57150635039
"107",1196.72131064639,3128.57152980895
"108",1196.72131064639,3128.57144855557
"109",1196.72131064639,3128.57153560579
"110",1196.72131064639,3128.57146657803
"111",1196.72131064639,3128.57147443446
"112",1196.72131064639,3128.57148323383
"113",1196.72131064639,3128.57152731391
"114",1196.72131064639,3128.5714572923
"115",1196.72131064639,3128.57147436053
"116",1196.72131064639,3128.57150425421
"117",1196.72131064639,3128.57144503228
"118",1196.72131064639,3128.57149819937
"119",1196.72131064639,3128.57147151756
"120",1196.72131064639,3128.57149268338
"121",1196.72131064639,3128.57145462316
"122",1196.72131064639,3128.57152481162
"123",1196.72131064639,3128.57149846232
"124",1196.72131064639,3128.57148241875
"125",1196.72131064639,3128.57148302437
"126",1196.72131064639,3128.57145590577
"127",1196.72131064639,3128.5714761031
"128",1196.72131064639,3128.57152747971
"129",1196.72131064639,3128.57150792232
