"IndividualId","Time [min]","Organism|blockA|mol1 [µmol]","Organism|blockB|mol1 [µmol]","Organism|blockB|mol1|twice_mol1_blockB [µmol]","Organism|blockA|mol1|Concentration [µmol/l]"
0,0,10,0,0,10
0,0.6,6.505896,3.494104,6.988208,6.505896
0,1.2,5.453003,4.546997,9.093994,5.453003
0,1.8,5.135563,4.864437,9.728873,5.135563
0,2.4,5.040634,4.959366,9.918732,5.040634
0,3,5.012173,4.987827,9.975655,5.012173
0,3.6,5.003547,4.996453,9.992906,5.003547
0,4.2,5.000996,4.999004,9.998009,5.000996
0,4.8,5.00028,4.99972,9.999439,5.00028
0,5.4,4.999917,5.000083,10.00017,4.999917
0,6,4.99969,5.00031,10.00062,4.99969
0,6.6,4.999718,5.000282,10.00056,4.999718
0,7.2,4.999881,5.000119,10.00024,4.999881
0,7.8,4.999995,5.000005,10.00001,4.999995
0,8.4,5.000075,4.999925,9.99985,5.000075
0,9,5.000114,4.999886,9.999772,5.000114
0,9.6,5.000097,4.999903,9.999806,5.000097
0,10.2,0.8241043,4.175805,8.351609,0.8241043
0,10.8,1.99569,3.004219,6.008438,1.99569
0,11.4,2.348713,2.651196,5.302392,2.348713
0,12,2.454515,2.545394,5.090789,2.454515
0,12.6,2.486582,2.513326,5.026653,2.486582
0,13.2,2.495939,2.50397,5.007941,2.495939
0,13.8,2.498757,2.501152,5.002304,2.498757
0,14.4,2.499721,2.500188,5.000377,2.499721
0,15,2.50021,2.499699,4.999398,2.50021
0,15.6,2.50032,2.499588,4.999177,2.50032
0,16.2,2.500163,2.499746,4.999493,2.500163
0,16.8,2.499995,2.499913,4.999827,2.499995
0,17.4,2.499899,2.50001,5.000021,2.499899
0,18,2.499883,2.500026,5.000051,2.499883
0,18.6,2.499883,2.500026,5.000052,2.499883
0,19.2,2.499918,2.499991,4.999982,2.499918
0,19.8,2.499944,2.499964,4.999928,2.499944
0,20.4,2.499972,2.499937,4.999874,2.499972
0,21,2.499999,2.49991,4.999819,2.499999
0,21.6,2.500002,2.499907,4.999814,2.500002
0,22.2,2.499991,2.499918,4.999836,2.499991
0,22.8,2.499993,2.499916,4.999832,2.499993
0,23.4,2.499985,2.499924,4.999847,2.499985
0,24,2.499971,2.499938,4.999876,2.499971
0,24.6,2.499963,2.499946,4.999891,2.499963
0,25.2,2.499957,2.499951,4.999903,2.499957
0,25.8,2.499954,2.499954,4.999908,2.499954
0,26.4,2.499951,2.499958,4.999915,2.499951
0,27,2.49995,2.499959,4.999917,2.49995
0,27.6,2.499952,2.499957,4.999914,2.499952
0,28.2,2.499949,2.499959,4.999919,2.499949
0,28.8,2.499948,2.499961,4.999923,2.499948
0,29.4,2.499947,2.499962,4.999924,2.499947
0,30,2.499947,2.499962,4.999924,2.499947
0,30.6,2.499948,2.499961,4.999922,2.499948
0,31.2,2.499949,2.499959,4.999919,2.499949
0,31.8,2.499952,2.499957,4.999914,2.499952
0,32.4,2.499952,2.499957,4.999914,2.499952
0,33,2.499952,2.499957,4.999913,2.499952
0,33.6,2.499953,2.499956,4.999913,2.499953
0,34.2,2.499953,2.499956,4.999912,2.499953
0,34.8,2.499953,2.499956,4.999911,2.499953
0,35.4,2.499954,2.499955,4.99991,2.499954
0,36,2.499954,2.499955,4.999909,2.499954
0,36.6,2.499954,2.499955,4.999909,2.499954
0,37.2,2.499954,2.499955,4.999909,2.499954
0,37.8,2.499954,2.499954,4.999909,2.499954
0,38.4,2.499954,2.499954,4.999909,2.499954
0,39,2.499954,2.499954,4.999909,2.499954
0,39.6,2.499954,2.499954,4.999909,2.499954
0,40.2,2.499954,2.499954,4.999908,2.499954
0,40.8,2.499954,2.499954,4.999908,2.499954
0,41.4,2.499954,2.499954,4.999908,2.499954
0,42,2.499954,2.499954,4.999908,2.499954
0,42.6,2.499954,2.499954,4.999909,2.499954
0,43.2,2.499954,2.499954,4.999909,2.499954
0,43.8,2.499954,2.499954,4.999909,2.499954
0,44.4,2.499954,2.499954,4.999909,2.499954
0,45,2.499954,2.499954,4.999909,2.499954
0,45.6,2.499954,2.499954,4.999909,2.499954
0,46.2,2.499954,2.499954,4.999909,2.499954
0,46.8,2.499954,2.499954,4.999909,2.499954
0,47.4,2.499954,2.499954,4.999909,2.499954
0,48,2.499954,2.499954,4.999909,2.499954
0,48.6,2.499954,2.499954,4.999909,2.499954
0,49.2,2.499954,2.499954,4.999909,2.499954
0,49.8,2.499954,2.499954,4.999909,2.499954
0,50.4,2.499954,2.499954,4.999909,2.499954
0,51,2.499954,2.499954,4.999909,2.499954
0,51.6,2.499954,2.499954,4.999909,2.499954
0,52.2,2.499954,2.499954,4.999909,2.499954
0,52.8,2.499954,2.499954,4.999909,2.499954
0,53.4,2.499954,2.499954,4.999909,2.499954
0,54,2.499954,2.499954,4.999909,2.499954
0,54.6,2.499954,2.499954,4.999909,2.499954
0,55.2,2.499954,2.499954,4.999909,2.499954
0,55.8,2.499954,2.499954,4.999909,2.499954
0,56.4,2.499954,2.499954,4.999909,2.499954
0,57,2.499954,2.499954,4.999909,2.499954
0,57.6,2.499954,2.499954,4.999909,2.499954
0,58.2,2.499954,2.499954,4.999909,2.499954
0,58.8,2.499954,2.499954,4.999909,2.499954
0,59.4,2.499954,2.499954,4.999909,2.499954
0,60,2.499954,2.499954,4.999909,2.499954
1,0,10,0,0,10
1,0.6,6.505896,3.494104,6.988208,6.505896
1,1.2,5.453003,4.546997,9.093994,5.453003
1,1.8,5.135563,4.864437,9.728873,5.135563
1,2.4,5.040634,4.959366,9.918732,5.040634
1,3,5.012173,4.987827,9.975655,5.012173
1,3.6,5.003547,4.996453,9.992906,5.003547
1,4.2,5.000996,4.999004,9.998009,5.000996
1,4.8,5.00028,4.99972,9.999439,5.00028
1,5.4,4.999917,5.000083,10.00017,4.999917
1,6,4.99969,5.00031,10.00062,4.99969
1,6.6,4.999718,5.000282,10.00056,4.999718
1,7.2,4.999881,5.000119,10.00024,4.999881
1,7.8,4.999995,5.000005,10.00001,4.999995
1,8.4,5.000075,4.999925,9.99985,5.000075
1,9,5.000114,4.999886,9.999772,5.000114
1,9.6,5.000097,4.999903,9.999806,5.000097
1,10.2,0.8241043,4.175805,8.351609,0.8241043
1,10.8,1.99569,3.004219,6.008438,1.99569
1,11.4,2.348713,2.651196,5.302392,2.348713
1,12,2.454515,2.545394,5.090789,2.454515
