"","smarties"
"1",345.971557617188
"2",691.943123340141
"3",691.943118688301
"4",691.943119596806
"5",691.943126046099
"6",691.943125744525
"7",691.943117235845
"8",691.943122484314
"9",691.943125440215
"10",691.943121808523
"11",691.943120293552
"12",691.943119763804
"13",691.943118679454
"14",691.943116170238
"15",691.943129943509
"16",691.943127454666
"17",691.943122722791
"18",691.943118859373
"19",691.943121250835
"20",691.943124173558
"21",691.943121848395
"22",691.943124584504
"23",691.943121293385
"24",691.943121649325
"25",691.94312054856
"26",691.943122220517
"27",691.943122494151
"28",691.943122589088
"29",691.943123512436
"30",691.943126893369
"31",691.943121188844
"32",691.943126199883
"33",691.943125764374
"34",691.943118060241
"35",691.943124433979
"36",691.943127389532
"37",691.943130486237
"38",691.943114268477
"39",691.943125057616
"40",691.943128851242
"41",691.94312532153
"42",691.943117286603
"43",691.943128231214
"44",691.943115800968
"45",691.943116542243
"46",691.943121074524
"47",691.943124244804
"48",691.943114182563
"49",691.943121780176
"50",691.943126985105
"51",691.94312559627
"52",691.943124710408
"53",691.94311936642
"54",691.943127671722
"55",691.943127754552
"56",691.943129919295
"57",691.943128299434
"58",691.943118540745
"59",691.943126232538
"60",691.943114348687
"61",691.943118009076
"62",691.943125084625
"63",691.94311940053
"64",691.943122744095
"65",691.943128947401
"66",691.943115935894
"67",691.943130344327
"68",691.943112356181
"69",691.943118521769
"70",691.943126689584
"71",691.943125307327
"72",691.943119664211
"73",691.943127614271
"74",691.943133270834
"75",691.94312659651
"76",691.943127522478
"77",691.943125442252
"78",691.943126718863
"79",691.943110822933
"80",691.943130893633
"81",691.943125574384
"82",691.943121336517
"83",691.943119020609
"84",691.943125566002
"85",691.943120782613
"86",691.943125437421
"87",691.94312911178
"88",691.943121549848
"89",691.943116834678
"90",691.943122904166
"91",691.943130515341
"92",691.943118816125
"93",691.943115925998
"94",691.943117633928
"95",691.94311842008
"96",691.943130754575
"97",691.943126622646
"98",691.943117333576
"99",691.94312707684
"100",691.943129411084
"101",691.943126726488
"102",691.943125803722
"103",691.943121586053
"104",691.943118455529
"105",691.943127585168
"106",691.943124834681
"107",691.943121802877
"108",691.943130304571
"109",691.94312085188
"110",691.943121170043
"111",691.943128951534
"112",691.943121333432
"113",691.943115913891
"114",691.943116609298
"115",691.943120675336
"116",691.943116403767
"117",691.94312998181
"118",691.943120510783
"119",691.943128789309
"120",691.943124163547
"121",691.943115010508
"122",691.943126133177
"123",691.943113309273
"124",691.943123448524
"125",691.943111594825
"126",691.943124800804
"127",691.943128141575
"128",691.943116369715
"129",691.943126860773
