"IndividualId","Gender","Population","Organism|Weight","Organism|BMI","Organism|BSA","Organism|Age","Organism|Gestational age","Organism|Height","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|Hematocrit","Organism|VenousBlood|Volume","Organism|ArterialBlood|Volume","Organism|Bone|Specific blood flow rate","Organism|Bone|Volume","Organism|Brain|Volume","Organism|Brain|Specific blood flow rate","Organism|Fat|Volume","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate","Organism|Gonads|Volume","Organism|Gonads|Specific blood flow rate","Organism|Heart|Volume","Organism|Heart|Specific blood flow rate","Organism|Kidney|Volume","Organism|Kidney|Age of aging onset","Organism|Kidney|Aging half-time","Organism|Kidney|GFRmat","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR","Organism|Kidney|Specific blood flow rate","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius","Organism|Lumen|Stomach|Gastric emptying time","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length","Organism|Lumen|Stomach|Proximal radius","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume","Organism|Stomach|Specific blood flow rate","Organism|SmallIntestine|Small intestinal transit time","Organism|SmallIntestine|Volume","Organism|SmallIntestine|Specific blood flow rate","Organism|LargeIntestine|Large intestinal transit time","Organism|LargeIntestine|Volume","Organism|LargeIntestine|Specific blood flow rate","Organism|Liver|Volume","Organism|Liver|Specific blood flow rate","Organism|Lung|Volume","Organism|Lung|Fraction vascular","Organism|Muscle|Volume","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate","Organism|Pancreas|Volume","Organism|Pancreas|Specific blood flow rate","Organism|PortalVein|Volume","Organism|Skin|Volume","Organism|Skin|Specific blood flow rate","Organism|Spleen|Volume","Organism|Spleen|Specific blood flow rate"
0,"MALE","European_ICRP_2002",69.4013203697819,0.229553258216342,183.089049413459,64.4225777296455,40,17.3876998947408,1.16889018894726,0.579314018225375,0.47,0.95195035730371,0.372556573341043,0.0270280097585692,11.3241328272344,1.47028977636804,0.47410965088947,14.2619338948005,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0204602483561805,0.0332327045722774,0.0736760351281752,0.384987106829472,0.643412232018855,0.604888062079158,30,54,0.131360651488159,1.5,14.7868804713097,0.9,42.752639779845,1.98653229778788,1.81510686977977,0.5,18.0463128398989,1.15461205110669,1.13604653734024,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.154465805325019,0.300421429425352,121.249954667416,0.68524677434732,0.678963983647288,2652,0.408958859272632,0.49124969502572,1.10998174915855,0.175105400894729,1.22549363306574,0.58,31.1815485011376,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0334148842868881,0.199265485801839,0.294834080386522,0.923946588012738,3.68014567612236,0.0809930184981847,0.428295995009475,0.755606464508726
1,"MALE","European_ICRP_2002",67.9315188369814,0.236912323544928,178.757394527423,26.6940109062446,40,16.933309111201,0.952429005902694,0.96901232346394,0.458980036354149,0.968045482627764,0.392064940969326,0.0282571642539544,10.6557923861635,1.56743607787126,0.52036050348885,15.0958890929288,0.784572050895808,0.774764900259611,0.00196143012723952,0.173223956375021,0.165427949104192,0.19851353892503,0.836549949267656,0.90225785853018,0.00156914410179162,0.0019849672887664,0.148885154193773,0.00992567694625149,0.0330855898208383,0.0239458009647683,0.0352675081004525,0.0965681281148921,0.314822085933634,0.702203101905874,0.345519118615304,30,54,0.147689078606628,1.5,14.8720761943724,0.9,44.4039036922796,2.97382736063107,1.46831782101233,0.494364390591512,23.285524277003,1.47001682809661,0.953174184695208,1.97745315438059,0.494364390591512,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.160864660887113,0.404996947802357,104.145057545818,0.745362435988071,0.985073385228753,2619.6013068812,0.259238348039927,0.642994202172859,2.64862488889514,0.195889206491013,0.952496868719256,0.58,29.0361949621371,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16440798545834,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0321479264594982,0.153267383710104,0.367662918010481,0.999332609859511,3.37125492446143,0.104184369380021,0.230045061073658,0.825825278437399
2,"MALE","European_ICRP_2002",61.7673061573969,0.222149899648748,169.147234182207,43.8921914882456,40,16.6746324505723,0.781515137740953,0.84883366625594,0.47,0.967610534479059,0.395254073248096,0.0284030268357349,10.5022657639013,1.5098277577658,0.473301401552422,11.003738380951,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0204461627977604,0.0360434552700883,0.0786706591171292,0.320103701568317,0.648136518288752,0.605536111546355,30,54,0.157667896314371,1.5,14.8429564319374,0.9,44.5779460979892,2.59476313735207,2.12069190674341,0.5,23.8539154266525,2.38790264030065,0.805577740150043,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.196949981438053,0.363262790541792,88.5170123747573,0.608856484245327,0.955750436056601,2652,0.335273624601229,0.684261842259076,2.16201369998904,0.190875277237281,1.2089700004645,0.58,27.4335217508296,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0343190891733932,0.173854650031793,0.359560067714343,0.898834678696504,3.20720280178068,0.0918757136801795,0.201448706590232,0.878897827381962
3,"MALE","European_ICRP_2002",78.1618437104871,0.278591427237571,190.704787008981,68.9598968005552,40,16.749950326386,1.20613488778125,1.43218459507242,0.47,0.901605870515509,0.393376308156765,0.0290545928627635,10.3200148247409,1.41381501796507,0.468687094894581,22.6202661152054,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0228042325697749,0.0313938688084644,0.0815345700854017,0.442618619984961,0.591542682457713,0.374567501249457,30,54,0.143555127053308,1.5,14.9619784653932,0.9,43.7826464993215,1.55732999081592,1.98563488102451,0.5,10.4230037802534,1.41213355855957,0.559711287402591,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.166631534428482,0.286398659325707,112.297961649988,0.749051400128795,0.621603291071395,2652,0.436652885569851,0.403885688779421,2.51393971955549,0.172387965563018,1.62524638939187,0.58,31.2587871034059,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0323334673662964,0.17509477288208,0.251018914340091,0.840395133273782,3.77097699445701,0.0879359841594551,0.127409650767374,0.710158232752112
4,"MALE","European_ICRP_2002",64.7691114373881,0.21171451338129,177.396779805545,39.1517024567126,40,17.4907589349744,1.30115084853331,0.916603505719378,0.47,1.01174496187662,0.417166972504197,0.0264828168031708,11.5839864081246,1.47288965695739,0.491503941911583,9.44950156744786,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0225036464842107,0.0400025845800385,0.0885092796779422,0.530668385745924,0.644932678397153,0.483765040467214,30,54,0.124890001766705,1.5,15.0500455640804,0.9,44.5532869001753,2.88129822702161,0.967778404844417,0.5,15.7422266619577,1.06683629400829,0.968561284984542,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.154518921148592,0.417725457227839,152.767064819369,0.740514079241557,0.941517568427581,2652,0.388117490522192,0.654835271090783,2.26839825027871,0.205632789991582,1.10555695391385,0.58,30.1746510443607,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.033840173595286,0.188956596782109,0.337026856864185,0.857299123639002,3.58490838368825,0.0890367243875687,0.316465016109321,0.857140291578713
5,"MALE","European_ICRP_2002",57.7321917886601,0.202579046749885,164.540320492373,31.923394057864,40,16.8815283041927,0.892692586762643,1.02893598959139,0.47,0.995721567090375,0.418901903656394,0.0267334070733834,10.854561487042,1.42099161981716,0.515807504999605,9.2959058789221,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.023592906290973,0.0404294841112317,0.0810663145340352,0.533583620753947,0.657966780749129,0.490323346647333,30,54,0.117881290843895,1.5,15.1329742345221,0.9,45.7455929837742,2.99590084521264,1.36750712335624,0.5,12.6895257076225,1.00904625636689,1.07900697646269,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.197054156477323,0.374928970378287,105.064731174881,0.63161663141506,0.875693986421759,2652,0.40739508627989,0.637926065794965,1.54611408779304,0.183211852213666,1.26966757472103,0.58,24.9303831130513,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0340561479275242,0.233226394545502,0.33256837644078,0.936973797002813,3.30596887110604,0.0906393099183619,0.223373168227638,0.861094807195632
6,"MALE","European_ICRP_2002",79.4282371751079,0.224161731332986,203.797222263177,40.4164636425751,40,18.8237751193381,1.12885515474382,2.09605206062783,0.47,0.968571985508329,0.428971371855251,0.0264609160657062,13.7183532755292,1.65726665048951,0.489836431282777,15.3176718669716,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0205832220480792,0.0399960492378802,0.0800261280099239,0.309401287639391,0.637855130907971,0.418971023799228,30,54,0.147173167133175,1.5,14.9153662295823,0.9,43.7564777346933,2.61970144237305,1.71680562216554,0.5,17.0988314009658,1.49345560814705,1.29471242038236,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.195894948373164,0.404351991383827,278.850407387559,0.707430879925704,0.912604311777757,2652,0.370349812365733,0.579553582860592,3.69027239258254,0.190830422043006,1.3910937331286,0.58,34.5397777096733,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0353439433892427,0.225968597932721,0.340609965363899,0.931376061010796,4.1376611900494,0.0868778610553038,0.379208339035524,0.874812025275055
7,"MALE","European_ICRP_2002",53.0352508061374,0.211533063785346,152.734216273932,53.9413925464924,40,15.8340927184418,0.82206275592243,0.877318473008519,0.47,0.919232035339997,0.387940436319855,0.0268963684480054,9.63455429400845,1.45048532601819,0.43215776922102,9.14573303130904,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0223512544905452,0.0304413451387946,0.0875673979556138,0.442635212631166,0.611039730072148,0.390901882438968,30,54,0.15674264324038,1.5,15.0457460638355,0.9,45.3501283740609,2.425055444356,0.767245603018386,0.5,19.7748929276765,1.70174891658843,1.02237859756708,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.173787454771472,0.380262938734089,145.797821721854,0.718648054396819,0.802826167888667,2652,0.344541252521971,0.579895581571005,1.73673372789181,0.205138189739194,1.50385417810264,0.58,22.1712085509747,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0360872900476219,0.152225108081432,0.29907819595001,0.848577144153895,2.90052725423807,0.0942782394262876,0.0832245178001801,0.933184781590062
8,"MALE","European_ICRP_2002",86.2491930027772,0.30982751352771,199.937252671369,55.7793991555364,40,16.68466646436,0.808279518133377,1.04257211191,0.47,0.905520715534964,0.410312798390573,0.0286793871048699,10.5891974289003,1.50184206522454,0.493499090784541,34.8693090479947,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.021133988687867,0.0348576616261205,0.0788275011798305,0.401472010819324,0.657935502443273,0.600859618658473,30,54,0.106924059458368,1.5,14.7819283671944,0.9,44.1222423563752,2.15285111527599,0.568478760012494,0.5,9.87498189509506,1.41917216106681,0.641412842186643,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.194724094577412,0.354991251860239,166.81887038285,0.701341255828641,0.768432161041713,2652,0.564084596130711,0.581065057580149,1.83076353013883,0.199173164233195,1.13783956760574,0.58,27.3293046859846,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0353226369690399,0.194481398514769,0.312933773262858,0.8016123629387,3.99511998174874,0.0863759697977829,0.186550182160014,0.90357467448613
9,"MALE","European_ICRP_2002",94.3425333921798,0.272874632978958,220.748263006747,68.3348792941938,40,18.593972521864,1.00954122727712,0.933212027158234,0.47,1.02374665487497,0.499456076310228,0.0274347861276945,12.8007799284011,1.40427330404702,0.466143536619592,32.846695446047,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0210349844005351,0.0368282140767887,0.0821798774199728,0.497704516666442,0.701709227556183,0.401326002969226,30,54,0.151798526542524,1.5,15.0711553458673,0.9,43.2317000254231,1.72634496742133,2.66000916916633,0.5,31.5610288206441,0.852091469283859,0.996874293191734,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.124291413199759,0.266208684278629,140.646294568271,0.733142056721218,0.613487399623844,2652,0.390832548012976,0.423407136230247,2.21900921736545,0.163672330678947,1.73033412446169,0.58,33.5741818151657,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0343883067170414,0.220283340900507,0.265186634288219,0.867170612216933,4.65874659188248,0.0887054822764051,0.313731528860358,0.710549360132199
