"IndividualId","Gender","Population","Organism|Weight","Organism|BMI","Organism|BSA","Organism|Age","Organism|Gestational age","Organism|Height","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|Hematocrit","Organism|VenousBlood|Volume","Organism|ArterialBlood|Volume","Organism|Bone|Specific blood flow rate","Organism|Bone|Volume","Organism|Brain|Volume","Organism|Brain|Specific blood flow rate","Organism|Fat|Volume","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate","Organism|Gonads|Volume","Organism|Gonads|Specific blood flow rate","Organism|Heart|Volume","Organism|Heart|Specific blood flow rate","Organism|Kidney|Volume","Organism|Kidney|Age of aging onset","Organism|Kidney|Aging half-time","Organism|Kidney|GFRmat","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR","Organism|Kidney|Specific blood flow rate","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius","Organism|Lumen|Stomach|Gastric emptying time","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length","Organism|Lumen|Stomach|Proximal radius","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume","Organism|Stomach|Specific blood flow rate","Organism|SmallIntestine|Small intestinal transit time","Organism|SmallIntestine|Volume","Organism|SmallIntestine|Specific blood flow rate","Organism|LargeIntestine|Large intestinal transit time","Organism|LargeIntestine|Volume","Organism|LargeIntestine|Specific blood flow rate","Organism|Liver|Volume","Organism|Liver|Specific blood flow rate","Organism|Lung|Volume","Organism|Lung|Fraction vascular","Organism|Muscle|Volume","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate","Organism|Pancreas|Volume","Organism|Pancreas|Specific blood flow rate","Organism|PortalVein|Volume","Organism|Skin|Volume","Organism|Skin|Specific blood flow rate","Organism|Spleen|Volume","Organism|Spleen|Specific blood flow rate"
0,"MALE","European_ICRP_2002",30.3051084080928,0.169463700037946,106.102384885086,8.92054739218231,40,13.3727146835038,1.19325034387292,1.34315983282568,0.4,0.461028706595064,0.18040790736132,0.0522170758913747,4.77998506931759,1.42228724402243,0.621612367281579,6.98568309109025,0.694093137412375,0.685416973194721,0.00173523284353094,0.255906862587625,0.255906862586545,0.307088235103854,0.740076807765945,0.798207108024232,0.00138818627482475,0.00175605563765331,0.230316176327891,0.0153544117551927,0.051181372517309,0.0321998560163064,0.0021977610426703,1.03375582952412,0.169137539113661,1.10290068238563,0.177023846804698,30,54,0.115256690342104,1.5,14.9061916974543,0.9,45.0891409935679,3.23405992770782,0.424906384241555,0.37426277992838,21.3068220391658,1.80661529427307,0.726048258991094,1.49704248409266,0.37426277992838,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.1033496342718,0.536982727288182,242.89637241957,0.322650329657543,1.22203317649234,2505,0.226162104241051,0.837076979792535,1.47905082564038,0.287711172192892,0.600399088186098,0.58,11.7164062720272,0.013,0.0238,0.0072,0.177,0.811,0.76,0.248635620862542,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0355738131373597,0.0641294907822555,0.645329386390635,0.470221730809063,0.987741397481493,0.281118690885156,0.157246369648173,1.09387554029392
1,"MALE","European_ICRP_2002",22.6552595533369,0.150413129268724,87.8845999856957,7.40978975240597,40,12.2727432221253,1.19190797721649,0.677528382603207,0.4,0.345239827167794,0.150771164149459,0.0555591100719324,3.92755701879378,1.50504239119714,0.629355093691929,3.8859822620098,0.657834954057743,0.649612017132021,0.00164458738514436,0.292165045942257,0.292165045939667,0.3505980551276,0.701416519764069,0.756510197166405,0.00131566990811549,0.00166432243376609,0.2629485413457,0.01752990275638,0.0584330091879333,0.0336836537614625,0.00206663929659116,0.928890539539667,0.191258797229849,1.16812776932007,0.228638133931728,30,54,0.0735416848773348,1.5,14.9205978472054,0.9,45.5592616854063,3.40161111158525,0.858392670566013,0.349368515540146,27.4387568776768,1.17609682315294,1.02603011606625,1.3974533404786,0.349368515540146,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.0738598390684077,0.556232867110023,42.5533335365907,0.388779870847989,1.40661028171979,2505,0.155576023141428,0.847759519361751,0.437165975083525,0.303158891812354,0.566253413453849,0.58,9.43389350035052,0.013,0.0238,0.0072,0.177,0.811,0.76,0.260721681980752,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0317312209327124,0.08086418085829,0.64832423601906,0.382525490372633,0.815435799234426,0.260303407150539,0.0843492271496738,1.12368165352789
2,"MALE","European_ICRP_2002",35.0355734439773,0.16238262014943,119.56511113958,11.1542013032149,40,14.6887501165419,1.07288954333929,0.885123178545408,0.4,0.51565161992392,0.237556131016997,0.0445466852851804,6.31983780443607,1.43986096472376,0.517920246408849,7.30262694124008,0.72230840260643,0.713279547573849,0.00180577100651607,0.22769159739357,0.22769159739357,0.273229916872284,0.770161334279106,0.830654662997394,0.00144461680521286,0.00182744025859427,0.204922437654213,0.0136614958436142,0.0455383194787141,0.0312075759967274,0.00633410893738515,0.801148843103669,0.203288403309002,0.929207620418424,0.20172534191236,30,54,0.104837314117158,1.5,15.2815820236225,0.9,46.1935249871849,3.54844589687291,1.42166526061866,0.411066620671768,20.8924748668331,0.43141354503262,1.69881520123707,1.64426186588186,0.411066620671768,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.120029019587207,0.474580654718497,122.766270445986,0.55377701387337,1.16257223575895,2505,0.226054190245814,0.803570697018182,1.60169950912987,0.254874502257573,0.884952640537231,0.58,13.1944144807361,0.013,0.0238,0.0072,0.177,0.811,0.76,0.226149584361422,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0333805240075655,0.132333527195161,0.536478477225801,0.604237904856302,1.31037343479795,0.236416619700657,0.180820407518637,1.05191247230546
3,"MALE","European_ICRP_2002",43.4658843495426,0.193525559894444,134.519189628038,11.5578201159638,40,14.9866682514504,1.17455988211304,1.32372156761781,0.4,0.575069077205912,0.257782279856418,0.0426274169438047,6.64704287007921,1.65615377415571,0.596334814378568,12.1539136839282,0.723115640231928,0.714076694729029,0.00180778910057982,0.226884359768072,0.226884359768072,0.272261231721687,0.771022051397293,0.831582986266717,0.00144623128046386,0.00182948256978678,0.204195923791265,0.0136130615860843,0.0453768719536145,0.0317029962342834,0.00692962021059493,0.789206464135451,0.257375205629269,1.02739093827977,0.340840323671226,30,54,0.114434367425537,1.5,14.3676095552379,0.9,44.6506794425685,3.38110929644151,1.74754523180172,0.41771664423062,22.7919702839986,0.77528492160126,0.984154457845922,1.67086034564202,0.41771664423062,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.115892501131299,0.534001582860101,95.424141434123,0.475673371530974,1.11935723500847,2505,0.238088695519644,0.755553190394612,1.02316635735978,0.289657820948819,0.549794178346002,0.58,16.8761933257684,0.013,0.0238,0.0072,0.177,0.811,0.76,0.221306158608434,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0359019397395763,0.0971879793784022,0.567852849375155,0.608304174507912,1.47282021505866,0.238647181019733,0.113656716204998,1.16931169738664
4,"MALE","European_ICRP_2002",43.1838918607636,0.189867089829067,134.504355155992,11.9115384709609,40,15.0812049837423,0.827483330083884,0.655965738414073,0.4,0.591067481621228,0.252696377016836,0.0404469664756347,6.7291086578707,1.39579364198944,0.583973971652393,12.0444945856064,0.723823076941922,0.714775288480148,0.0018095576923548,0.226176923058078,0.226176923058078,0.271412307669694,0.771776355789324,0.83239653848321,0.00144764615388384,0.00183127238466306,0.20355923075227,0.0135706153834847,0.0452353846116156,0.0327820240744466,0.00825966165565001,0.758438491099622,0.274455585706954,0.975244751497701,0.175379058804676,30,54,0.0874115691163614,1.5,14.7692706489438,0.9,44.015133310136,3.30722899661112,1.84862516770266,0.423544507847552,6.17815552352559,2.15002058414836,1.55951384705685,1.69417038523633,0.423544507847552,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.121462652202656,0.533320406262401,54.9277537665236,0.427272899274176,1.09064170681085,2505,0.191229102862872,0.790973507491627,1.73108289051165,0.260850839859915,0.985840334600862,0.58,15.6652712543762,0.013,0.0238,0.0072,0.177,0.811,0.76,0.217061538348469,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0366700972167923,0.0853276499025712,0.531432574171521,0.676298707421393,1.57769546740047,0.217652377720066,0.251155851938913,0.929067264270852
5,"MALE","European_ICRP_2002",19.8981829166055,0.184618051400112,75.7528468963638,6.39452201146377,40,10.3817275651313,0.716353729334557,1.83260177130117,0.4,0.282431910099094,0.122923279593198,0.0600988634361723,2.72963247333801,1.40864464040955,0.649475281367248,6.51616903330738,0.633468528275131,0.625550171671691,0.00158367132068783,0.316531471724869,0.316531471721264,0.379837766065517,0.675435818273358,0.7284888075164,0.00126693705655026,0.00160267537653608,0.284878324549138,0.0189918883032758,0.0633062943442528,0.0370255160112093,0.00174072743930211,0.943100466688506,0.0870562216904812,1.13161500243549,0.213494801176349,30,54,0.099198988396077,1.5,14.9231605603641,0.9,43.9532424577802,3.55702249640827,0.661907174359517,0.3326389337049,26.2608479589145,2.31893412944943,1.10505519365028,1.33052689099569,0.3326389337049,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0518440322760031,0.542950339284718,205.176393187759,0.261694564413615,1.32076249059751,2505,0.147000477290338,0.917449684137935,0.444369785576304,0.290809599306627,0.345975352082123,0.58,6.05008941333593,0.013,0.0238,0.0072,0.177,0.811,0.76,0.26884382390829,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0340112076199746,0.0661045100392468,0.728463559357343,0.315811432937381,0.639886203927146,0.248595087386073,0.213314057674085,1.23748327328085
6,"MALE","European_ICRP_2002",40.2485427164141,0.191045222008675,127.39019740685,10.8245393875169,40,14.5146641047893,0.88224259024201,1.21599524705865,0.4,0.527043706593337,0.235400420659896,0.0435555887437237,6.03675904175757,1.55194099956631,0.56627308872683,10.4554343797114,0.721649078775034,0.712628465290346,0.00180412269693758,0.228350921224966,0.228350921224966,0.274021105469959,0.76945833024388,0.829896440591289,0.00144329815755007,0.00182577216930084,0.20551582910247,0.013701055273498,0.0456701842449932,0.0318283579533187,0.00535379478898684,0.881273401915591,0.258980375716355,0.939015377470771,0.244243502206518,30,54,0.0921986736523843,1.5,14.8660982462753,0.9,43.533930530351,3.4192840672372,0.979217245145155,0.405635110948729,12.0864088932313,1.43645542972593,1.07892620843325,1.62253714563737,0.405635110948729,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.123584353683697,0.519897229571152,183.918295652936,0.384491261843781,1.14148068378546,2505,0.250542425152233,0.845335132351632,1.1107255162703,0.306329847062924,1.23768069358865,0.58,15.8057116989296,0.013,0.0238,0.0072,0.177,0.811,0.76,0.230105527349797,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0345276756240835,0.0790681327314914,0.582592521725102,0.617113331115013,1.2501435440475,0.233572251580823,0.0743255380514344,1.07521708693495
7,"MALE","European_ICRP_2002",26.4818039102211,0.147256522278424,99.3229190068232,9.26410756365587,40,13.4102388421341,0.811153103338528,1.3788530119366,0.4,0.432042668777472,0.18606730776955,0.0425983993389592,4.84399102840217,1.49072037064083,0.611727670883058,5.05311204499509,0.702338581527741,0.693559349258644,0.00175584645381935,0.247661418472259,0.247661418471523,0.297193702165828,0.748868512553954,0.807689368756902,0.00140467716305548,0.00177691661126518,0.222895276624371,0.0148596851082914,0.0495322836943046,0.03368331312484,0.00224998514084454,1.03119884771388,0.139941178777427,1.04961405609546,0.207927601352624,30,54,0.092070499573055,1.5,14.9780438927385,0.9,44.7411713660324,3.29412897887417,1.32730852166745,0.379923964433922,17.896499233061,0.725572501456356,1.30253981676731,1.5196899705962,0.379923964433922,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.101696796902983,0.553548698737984,96.1697336746138,0.436122218022579,1.22068340179501,2505,0.253972272259353,0.765718807636981,1.21929378414761,0.268957189555431,0.408875719026279,0.58,10.2126704444074,0.013,0.0238,0.0072,0.177,0.811,0.76,0.245887139490753,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0337209940134054,0.115834873358894,0.614713985324667,0.478378625446156,0.779970342345922,0.283206588259974,0.118936648447958,1.16185566287186
8,"MALE","European_ICRP_2002",18.0733189035744,0.143059540039383,75.120187483276,4.82226175480628,40,11.2398507311854,1.09416201747013,0.969010725043597,0.37,0.272799037422081,0.107812116275143,0.0628880258304409,3.02223815979845,1.41317944463571,0.713415804865662,4.67194810495266,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.0280920334201899,0.00208641269005851,0.858416848055763,0.0971272059812639,1.2016652676501,0.113471821578503,30,54,0.0932089806392581,1.5,14.9780160319369,0.9,43.4669244991495,3.9791932981849,1.75580229747653,0.305494259878272,8.57494679737032,1.82381806178943,0.75662542785252,1.22193881689554,0.305494259878272,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0775215278528699,0.625827822860568,107.138056682603,0.280969096894646,1.30831347432235,2498.42368492783,0.181811434628289,0.945203483393721,0.758653226769788,0.290808837389203,0.339787035593942,0.58,5.62292938145637,0.013,0.0238,0.0072,0.180361075790522,0.811444894169352,0.76041691685414,0.281777382451937,0.022,0.0049,0.0078,0.0042,0.0790433374098383,0.193607934464403,0.666365350822181,0.76041691685414,0.0340195798494511,0.0754122651744989,0.700075099921598,0.303188839014777,0.685390092365499,0.253365578166798,0.0469937004898792,1.12094307288385
9,"MALE","European_ICRP_2002",16.1676495931071,0.165954847325226,66.5802031418338,4.97277580805718,40,9.87025727378739,0.988799280287216,1.46105560242341,0.37,0.233754572006621,0.103230284495827,0.0599664369451125,2.37307572885035,1.34522465352315,0.638916937898346,3.70762718660951,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.0343348566731871,0.00189593871362288,0.809322890618272,0.116582302549164,1.12460641877185,0.152280391805834,30,54,0.118752106348517,1.5,14.5609035686119,0.9,45.0706312901812,3.6293697774823,1.69367706073901,0.30902193300134,16.3528997892084,0.569955216433385,0.999963510123103,1.23604800424728,0.30902193300134,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0674610408888788,0.576286691522834,123.461898665641,0.232725726771308,1.38386925438743,2503.99270489812,0.111503259365282,0.980546286750903,0.643089686022773,0.287171802627622,0.28620146439977,0.58,5.84046868658408,0.013,0.0238,0.0072,0.177514816450201,0.811068144502313,0.760063859213018,0.280272241919428,0.022,0.0049,0.0078,0.0042,0.0790066379971427,0.190552627827899,0.666055960836671,0.760063859213018,0.0302939585826848,0.0433893726061405,0.708258862938145,0.250040734157784,0.608852011085296,0.235040662544443,0.0502465526717297,1.2930790028237
