"IndividualId","Time [min]","Organism|VenousBlood|Plasma|Raltegravir|Concentration [µmol/l]","Organism|ArterialBlood|Plasma|Raltegravir|Concentration [µmol/l]","Organism|Lung|Interstitial|Raltegravir|Concentration [µmol/l]"
0,0,0,0,0
0,3,0.1452715,0.1177862,0.05944221
0,6,0.7372423,0.682594,0.3294074
0,9,1.600169,1.527691,0.7298823
0,12,2.634624,2.552382,1.213688
0,15,3.726302,3.642986,1.727212
0,18,4.775785,4.698121,2.223024
0,21,5.714959,5.647267,2.66829
0,24,6.505178,6.449679,3.04415
0,27,7.131281,7.088586,3.342953
0,30,7.595115,7.5647,3.565207
0,33,7.909502,7.89016,3.716729
0,36,8.093229,8.083403,3.806252
0,39,8.167342,8.165388,3.843653
0,42,8.152607,8.156952,3.838732
0,45,8.067989,8.077235,3.80047
0,48,7.929979,7.942912,3.736689
0,51,7.752574,7.768179,3.654042
0,54,7.547305,7.564758,3.558015
0,57,7.323415,7.342059,3.453014
0,60,7.088174,7.107492,3.342506
0,63,6.847277,6.866873,3.229208
0,66,6.605037,6.624609,3.115182
0,69,6.364689,6.384012,3.001975
0,72,6.12863,6.14754,2.890734
0,75,5.898586,5.916967,2.782287
0,78,5.675747,5.693522,2.677207
0,81,5.460882,5.478001,2.575864
0,84,5.254443,5.270879,2.478478
0,87,5.056659,5.072402,2.385163
0,90,4.867577,4.882628,2.295944
0,93,4.687108,4.701479,2.210783
0,96,4.515059,4.528769,2.129591
0,99,4.351174,4.364244,2.052248
0,102,4.195148,4.207603,1.978613
0,105,4.04665,4.058518,1.90853
0,108,3.905334,3.916642,1.841835
0,111,3.770844,3.781622,1.778364
0,114,3.642827,3.653101,1.717947
0,117,3.520934,3.530733,1.660422
0,120,3.40483,3.41418,1.60563
0,135,2.900265,2.907723,1.367535
0,150,2.498016,2.504065,1.177751
0,165,2.172182,2.177168,1.024046
0,180,1.904016,1.908194,0.8975654
0,195,1.680182,1.683725,0.7920061
0,210,1.491347,1.494383,0.7029609
0,225,1.330612,1.333235,0.6271724
0,240,1.192796,1.195078,0.5621942
0,255,1.073896,1.075894,0.5061377
0,270,0.970772,0.9725288,0.4575205
0,285,0.8809424,0.8824949,0.4151725
0,300,0.8023611,0.8037387,0.3781283
0,315,0.7333707,0.7345976,0.3456061
0,330,0.6726025,0.673699,0.3169605
0,345,0.61891,0.619893,0.2916508
0,360,0.5713351,0.5722192,0.2692252
0,375,0.529067,0.5298643,0.2493014
0,390,0.4914179,0.4921388,0.231555
0,405,0.4578014,0.4584549,0.2157097
0,420,0.427715,0.4283089,0.2015284
0,435,0.4007272,0.4012681,0.1888078
0,450,0.3764652,0.3769591,0.1773721
0,465,0.3546064,0.3550584,0.1670692
0,480,0.3348706,0.3352851,0.157767
0,495,0.3170137,0.3173946,0.1493505
0,510,0.3008223,0.3011731,0.1417191
0,525,0.2861096,0.2864334,0.1347847
0,540,0.2727116,0.2730111,0.12847
0,555,0.2604839,0.2607615,0.122707
0,570,0.2492992,0.2495569,0.1174355
0,585,0.2390449,0.2392848,0.1126027
0,600,0.2296216,0.2298454,0.1081616
0,615,0.2209411,0.2211502,0.1040706
0,630,0.2129251,0.2131209,0.1002929
0,645,0.2055041,0.2056879,0.09679561
0,660,0.1986164,0.1987891,0.09354969
0,675,0.1922069,0.1923696,0.09052923
0,690,0.1862267,0.1863804,0.08771115
0,705,0.1806323,0.1807777,0.08507492
0,720,0.1753849,0.1755227,0.08260227
0,735,0.1704499,0.1705807,0.08027689
0,750,0.1657965,0.165921,0.07808428
0,765,0.1613973,0.161516,0.07601149
0,780,0.1572279,0.1573412,0.07404702
0,795,0.1532666,0.1533749,0.07218061
0,810,0.1494938,0.1495976,0.07040314
0,825,0.1458925,0.145992,0.06870648
0,840,0.1424473,0.1425429,0.0670834
0,855,0.1391446,0.1392366,0.06552748
0,870,0.1359722,0.1360608,0.064033
0,885,0.1329194,0.1330048,0.06259489
0,900,0.1299765,0.130059,0.06120862
0,915,0.1271352,0.1272149,0.0598702
0,930,0.1243878,0.1244649,0.05857605
0,945,0.1217276,0.1218023,0.05732302
0,960,0.1191487,0.1192211,0.05610829
0,975,0.1166457,0.116716,0.05492937
0,990,0.1142141,0.1142823,0.05378404
0,1005,0.1118495,0.1119158,0.05267031
0,1020,0.1095482,0.1096126,0.05158643
0,1035,0.1073069,0.1073696,0.05053083
0,1050,0.1051227,0.1051837,0.0495021
0,1065,0.1029928,0.1030522,0.04849898
0,1080,0.1009149,0.1009727,0.04752035
0,1095,0.09888675,0.09894317,0.04656519
0,1110,0.0969065,0.0969615,0.04563257
0,1125,0.09497235,0.09502599,0.04472169
0,1140,0.0930827,0.09313502,0.04383175
0,1155,0.09123606,0.09128712,0.04296209
0,1170,0.08943111,0.08948094,0.04211207
0,1185,0.08766658,0.08771522,0.04128108
0,1200,0.08594131,0.08598882,0.0404686
0,1215,0.08425425,0.08430064,0.0396741
0,1230,0.08260436,0.08264968,0.03889712
0,1245,0.08099069,0.08103497,0.0381372
0,1260,0.07941235,0.07945561,0.03739392
0,1275,0.07786846,0.07791074,0.03666687
0,1290,0.0763582,0.07639952,0.03595566
0,1305,0.07488079,0.07492118,0.03525992
0,1320,0.07343544,0.07347493,0.03457928
0,1335,0.07202143,0.07206004,0.0339134
0,1350,0.07063805,0.0706758,0.03326195
0,1365,0.06928457,0.06932149,0.03262458
0,1380,0.06796034,0.06799645,0.03200098
0,1395,0.06666469,0.0667,0.03139085
0,1410,0.06539695,0.06543149,0.03079386
0,1425,0.06415649,0.06419029,0.03020972
0,1440,0.06294269,0.06297576,0.02963814
