"IndividualId","Time [min]","Organism|Lung|Interstitial|Raltegravir|Concentration [µmol/l]"
0,0,0
0,3,0.1494735
0,6,0.6778364
0,9,1.405876
0,12,2.232942
0,15,3.053049
0,18,3.788537
0,21,4.396993
0,24,4.863914
0,27,5.193462
0,30,5.400719
0,33,5.50555
0,36,5.528574
0,39,5.488766
0,42,5.402388
0,45,5.282697
0,48,5.14016
0,51,4.982819
0,54,4.816802
0,57,4.646696
0,60,4.475876
0,63,4.3068
0,66,4.141178
0,69,3.98019
0,72,3.824626
0,75,3.67497
0,78,3.531482
0,81,3.394248
0,84,3.263237
0,87,3.138338
0,90,3.019381
0,93,2.906154
0,96,2.798414
0,99,2.695908
0,102,2.598377
0,105,2.50556
0,108,2.417184
0,111,2.333007
0,114,2.252795
0,117,2.176324
0,120,2.10338
0,135,1.784889
0,150,1.528967
0,165,1.320442
0,180,1.148488
0,195,1.005268
0,210,0.8849956
0,225,0.7832839
0,240,0.6967491
0,255,0.6227314
0,270,0.559109
0,285,0.5041743
0,300,0.4565406
0,315,0.4150717
0,330,0.3788327
0,345,0.3470506
0,360,0.319082
0,375,0.2943894
0,390,0.2725231
0,405,0.2531041
0,420,0.2358113
0,435,0.2203721
0,450,0.2065542
0,465,0.1941582
0,480,0.1830126
0,495,0.1729694
0,510,0.1638999
0,525,0.1556922
0,540,0.1482486
0,555,0.1414834
0,570,0.1353212
0,585,0.1296956
0,600,0.1245479
0,615,0.1198262
0,630,0.1154845
0,645,0.1114818
0,660,0.1077819
0,675,0.1043525
0,690,0.1011647
0,705,0.09819316
0,720,0.095415
0,735,0.09280999
0,750,0.09036014
0,765,0.08804945
0,780,0.08586369
0,795,0.08379025
0,810,0.08181792
0,825,0.07993679
0,840,0.07813809
0,855,0.07641404
0,870,0.07475779
0,885,0.07316328
0,900,0.07162517
0,915,0.07013876
0,930,0.06869991
0,945,0.06730498
0,960,0.06595076
0,975,0.06463443
0,990,0.06335353
0,1005,0.06210588
0,1020,0.06088955
0,1035,0.05970287
0,1050,0.05854435
0,1065,0.05741266
0,1080,0.05630665
0,1095,0.05522528
0,1110,0.05416761
0,1125,0.05313283
0,1140,0.05212017
0,1155,0.05112896
0,1170,0.05015859
0,1185,0.04920847
0,1200,0.04827808
0,1215,0.04736693
0,1230,0.04647455
0,1245,0.04560052
0,1260,0.04474441
0,1275,0.04390582
0,1290,0.04308438
0,1305,0.04227971
0,1320,0.04149145
0,1335,0.04071925
0,1350,0.03996278
0,1365,0.03922169
0,1380,0.03849565
0,1395,0.03778435
0,1410,0.03708745
0,1425,0.03640466
0,1440,0.03573566
1,0,0
1,3,0.3169402
1,6,1.371706
1,9,2.602356
1,12,3.798122
1,15,4.857735
1,18,5.723009
1,21,6.374437
1,24,6.822566
1,27,7.095199
1,30,7.226056
1,33,7.247616
1,36,7.187677
1,39,7.068499
1,42,6.907262
1,45,6.716972
1,48,6.507419
1,51,6.285961
1,54,6.058129
1,57,5.828116
1,60,5.599041
1,63,5.373221
1,66,5.152381
1,69,4.937747
1,72,4.730167
1,75,4.530201
1,78,4.338181
1,81,4.154257
1,84,3.978442
1,87,3.810657
1,90,3.650738
1,93,3.498452
1,96,3.353555
1,99,3.215753
